user_id,age_group,region,subscription_type
U000092,25-34,Uttar Pradesh,Free
U000093,18-24,Telangana,Free
U000094,18-24,Tamil Nadu,Premium
U000095,18-24,Maharashtra,Free
U000096,25-34,Kerala,Free
U000097,25-34,West Bengal,Free
U000098,25-34,Gujarat,Free
U000099,25-34,Delhi,Premium
U000100,45+,West Bengal,Free
U000101,18-24,Karnataka,Premium
U000102,25-34,Punjab,Premium
U000103,25-34,Punjab,Free
U000104,35-44,Punjab,Premium
U000105,35-44,Kerala,Premium
U000106,35-44,Maharashtra,Free
U000107,18-24,Uttar Pradesh,Free
U000108,25-34,Uttar Pradesh,Free
U000109,35-44,Uttar Pradesh,Free
U000110,25-34,Gujarat,Premium
U000111,45+,Karnataka,Free
U000112,25-34,Tamil Nadu,Premium
U000113,25-34,Delhi,Free
U000114,25-34,Gujarat,Free
U000115,25-34,Kerala,Free
U000116,35-44,Delhi,Premium
U000117,18-24,Uttar Pradesh,Free
U000118,25-34,Maharashtra,Free
U000119,25-34,Kerala,Free
U000120,35-44,Delhi,Free
U000121,25-34,Kerala,Free
U000122,45+,Gujarat,Premium
U000123,35-44,Uttar Pradesh,Free
U000124,18-24,Delhi,Free
U000125,35-44,Delhi,Premium
U000126,45+,Maharashtra,Free
U000127,18-24,Gujarat,Free
U000128,25-34,Delhi,Free
U000129,18-24,Karnataka,Free
U000130,25-34,Tamil Nadu,Free
U000131,18-24,Karnataka,Premium
U000132,35-44,Tamil Nadu,Free
U000133,25-34,Karnataka,Free
U000134,25-34,Punjab,Premium
U000135,18-24,Karnataka,Premium
U000136,25-34,Gujarat,Premium
U000137,25-34,Delhi,Free
U000138,25-34,Uttar Pradesh,Free
U000139,18-24,Tamil Nadu,Premium
U000140,18-24,Punjab,Premium
U000141,25-34,Tamil Nadu,Premium
U000142,45+,Uttar Pradesh,Free
U000143,18-24,Gujarat,Premium
U000144,25-34,Gujarat,Premium
U000145,18-24,Punjab,Free
U000146,35-44,Gujarat,Free
U000147,18-24,Kerala,Free
U000148,25-34,Maharashtra,Premium
U000149,25-34,Tamil Nadu,Free
U000150,18-24,Gujarat,Free
U000151,18-24,Telangana,Free
U000152,25-34,Telangana,Premium
U000153,25-34,Karnataka,Free
U000154,45+,Maharashtra,Premium
U000155,25-34,Gujarat,Free
U000156,45+,Kerala,Free
U000157,25-34,Punjab,Free
U000158,18-24,Punjab,Free
U000159,18-24,Telangana,Free
U000160,25-34,Kerala,Free
U000161,18-24,Maharashtra,Premium
U000162,35-44,West Bengal,Premium
U000163,25-34,Gujarat,Premium
U000164,25-34,Tamil Nadu,Premium
U000165,25-34,Maharashtra,Free
U000166,25-34,Maharashtra,Premium
U000167,25-34,Delhi,Free
U000168,18-24,Gujarat,Free
U000169,18-24,Tamil Nadu,Free
U000170,18-24,Delhi,Free
U000171,18-24,Uttar Pradesh,Premium
U000172,25-34,Gujarat,Free
U000173,18-24,Delhi,Free
U000174,18-24,West Bengal,Free
U000175,45+,Karnataka,Free
U000176,45+,Maharashtra,Premium
U000177,25-34,Maharashtra,Free
U000178,25-34,Telangana,Free
U000179,35-44,Gujarat,Premium
U000180,18-24,Uttar Pradesh,Free
U000181,25-34,Kerala,Free
U000182,18-24,Uttar Pradesh,Premium
U000183,25-34,Punjab,Premium
U000184,45+,Delhi,Free
U000185,35-44,Delhi,Free
U000186,45+,Delhi,Free
U000187,35-44,Kerala,Free
U000188,25-34,Delhi,Free
U000189,35-44,Tamil Nadu,Free
U000190,25-34,Kerala,Free
U000191,25-34,Uttar Pradesh,Premium
U000192,18-24,Delhi,Premium
U000193,25-34,Delhi,Premium
U000194,18-24,Maharashtra,Free
U000195,25-34,Delhi,Free
U000196,18-24,Karnataka,Free
U000197,25-34,Karnataka,Free
U000198,18-24,Uttar Pradesh,Free
U000199,18-24,Tamil Nadu,Premium
U000200,25-34,Karnataka,Free
U000201,18-24,Tamil Nadu,Free
U000202,45+,Kerala,Free
U000203,25-34,Karnataka,Free
U000204,25-34,Delhi,Free
U000205,18-24,Tamil Nadu,Free
U000206,35-44,West Bengal,Free
U000207,25-34,Karnataka,Free
U000208,25-34,Telangana,Free
U000209,18-24,Karnataka,Premium
U000210,35-44,Uttar Pradesh,Premium
U000211,45+,Gujarat,Free
U000212,25-34,Kerala,Free
U000213,18-24,Gujarat,Premium
U000214,18-24,Delhi,Premium
U000215,18-24,West Bengal,Premium
U000216,35-44,Tamil Nadu,Free
U000217,45+,Kerala,Premium
U000218,45+,Maharashtra,Premium
U000219,35-44,Delhi,Free
U000220,18-24,Punjab,Free
U000221,45+,Telangana,Premium
U000222,18-24,Uttar Pradesh,Premium
U000223,18-24,Gujarat,Free
U000224,25-34,Tamil Nadu,Free
U000225,18-24,Maharashtra,Free
U000226,35-44,Gujarat,Premium
U000227,45+,Telangana,Free
U000228,35-44,Maharashtra,Free
U000229,35-44,West Bengal,Free
U000230,25-34,Gujarat,Free
U000231,18-24,Gujarat,Premium
U000232,35-44,Gujarat,Premium
U000233,25-34,Uttar Pradesh,Free
U000234,45+,West Bengal,Free
U000235,18-24,West Bengal,Free
U000236,18-24,Delhi,Free
U000237,25-34,West Bengal,Free
U000238,25-34,Gujarat,Free
U000239,35-44,Gujarat,Free
U000240,45+,Gujarat,Premium
U000241,18-24,Delhi,Premium
U000242,25-34,Punjab,Free
U000243,18-24,Gujarat,Premium
U000244,18-24,Uttar Pradesh,Free
U000245,25-34,Telangana,Free
U000246,25-34,Gujarat,Free
U000247,25-34,West Bengal,Free
U000248,25-34,Punjab,Free
U000249,25-34,Telangana,Premium
U000250,35-44,Karnataka,Premium
U000251,18-24,Kerala,Free
U000252,18-24,Karnataka,Premium
U000253,35-44,Delhi,Premium
U000254,35-44,Tamil Nadu,Premium
U000255,35-44,Tamil Nadu,Free
U000256,18-24,Gujarat,Free
U000257,25-34,Maharashtra,Premium
U000258,45+,Gujarat,Premium
U000259,25-34,Punjab,Free
U000260,25-34,Delhi,Premium
U000261,45+,Tamil Nadu,Free
U000262,18-24,Telangana,Free
U000263,35-44,Uttar Pradesh,Premium
U000264,35-44,Telangana,Premium
U000265,18-24,Delhi,Free
U000266,35-44,Tamil Nadu,Premium
U000267,25-34,Uttar Pradesh,Free
U000268,35-44,Kerala,Free
U000269,45+,Punjab,Free
U000270,35-44,West Bengal,Free
U000271,18-24,Kerala,Free
U000272,35-44,Punjab,Free
U000273,45+,Telangana,Free
U000274,25-34,Karnataka,Free
U000275,25-34,Delhi,Free
U000276,18-24,Gujarat,Free
U000277,35-44,Karnataka,Free
U000278,18-24,Karnataka,Free
U000279,18-24,Delhi,Free
U000280,45+,Tamil Nadu,Premium
U000281,45+,West Bengal,Premium
U000282,45+,Uttar Pradesh,Free
U000283,25-34,Kerala,Free
U000284,18-24,Gujarat,Free
U000285,25-34,Uttar Pradesh,Free
U000286,18-24,West Bengal,Premium
U000287,35-44,Gujarat,Free
U000288,25-34,Karnataka,Premium
U000289,25-34,Kerala,Premium
U000290,18-24,West Bengal,Premium
U000291,25-34,Tamil Nadu,Premium
U000292,35-44,West Bengal,Free
U000293,35-44,Kerala,Free
U000294,18-24,Tamil Nadu,Free
U000295,18-24,Gujarat,Free
U000296,25-34,Maharashtra,Premium
U000297,18-24,Karnataka,Premium
U000298,45+,Karnataka,Premium
U000299,25-34,Gujarat,Premium
U000300,18-24,Telangana,Free
U000301,35-44,Uttar Pradesh,Premium
U000302,25-34,Uttar Pradesh,Premium
U000303,18-24,Tamil Nadu,Premium
U000304,25-34,Kerala,Free
U000305,18-24,Punjab,Free
U000306,25-34,Delhi,Free
U000307,35-44,Tamil Nadu,Free
U000308,45+,Karnataka,Free
U000309,18-24,Kerala,Free
U000310,25-34,Telangana,Free
U000311,18-24,Delhi,Free
U000312,25-34,Tamil Nadu,Free
U000313,18-24,Tamil Nadu,Premium
U000314,25-34,Maharashtra,Free
U000315,18-24,Telangana,Free
U000316,45+,Uttar Pradesh,Free
U000317,35-44,Gujarat,Free
U000318,18-24,Uttar Pradesh,Free
U000319,35-44,Gujarat,Premium
U000320,18-24,Uttar Pradesh,Free
U000321,35-44,Maharashtra,Free
U000322,18-24,Tamil Nadu,Free
U000323,18-24,Telangana,Free
U000324,25-34,Gujarat,Premium
U000325,25-34,Karnataka,Free
U000326,25-34,Kerala,Free
U000327,25-34,Kerala,Premium
U000328,18-24,Telangana,Premium
U000329,18-24,Punjab,Free
U000330,25-34,Maharashtra,Premium
U000331,25-34,Tamil Nadu,Free
U000332,18-24,Delhi,Free
U000333,25-34,West Bengal,Premium
U000334,25-34,Punjab,Premium
U000335,25-34,Gujarat,Free
U000336,35-44,Gujarat,Free
U000337,25-34,Gujarat,Free
U000338,25-34,West Bengal,Premium
U000339,25-34,Delhi,Free
U000340,18-24,Uttar Pradesh,Premium
U000341,18-24,Maharashtra,Free
U000342,18-24,Telangana,Premium
U000343,35-44,Gujarat,Premium
U000344,18-24,Maharashtra,Free
U000345,25-34,Tamil Nadu,Free
U000346,25-34,Tamil Nadu,Free
U000347,25-34,Delhi,Free
U000348,35-44,Delhi,Free
U000349,25-34,Uttar Pradesh,Premium
U000350,18-24,Uttar Pradesh,Free
U000351,35-44,Maharashtra,Free
U000352,25-34,Punjab,Free
U000353,18-24,Karnataka,Free
U000354,35-44,Delhi,Free
U000355,25-34,Maharashtra,Premium
U000356,18-24,Telangana,Premium
U000357,45+,Tamil Nadu,Free
U000358,25-34,Gujarat,Premium
U000359,25-34,Punjab,Free
U000360,18-24,Telangana,Premium
U000361,18-24,Karnataka,Free
U000362,25-34,Maharashtra,Free
U000363,25-34,Kerala,Premium
U000364,25-34,Kerala,Free
U000365,35-44,West Bengal,Premium
U000366,18-24,Maharashtra,Premium
U000367,35-44,West Bengal,Free
U000368,35-44,West Bengal,Free
U000369,35-44,Tamil Nadu,Free
U000370,35-44,West Bengal,Free
U000371,35-44,Delhi,Free
U000372,18-24,Punjab,Free
U000373,25-34,Delhi,Free
U000374,45+,Tamil Nadu,Free
U000375,25-34,Gujarat,Free
U000376,18-24,Maharashtra,Free
U000377,45+,Tamil Nadu,Free
U000378,18-24,Punjab,Premium
U000379,18-24,Uttar Pradesh,Free
U000380,18-24,West Bengal,Free
U000381,25-34,Punjab,Premium
U000382,25-34,Punjab,Free
U000383,25-34,Telangana,Free
U000384,45+,Maharashtra,Free
U000385,25-34,Maharashtra,Free
U000386,25-34,West Bengal,Premium
U000387,35-44,Gujarat,Free
U000388,35-44,Kerala,Free
U000389,18-24,Delhi,Free
U000390,18-24,Gujarat,Free
U000391,25-34,Punjab,Free
U000392,35-44,Gujarat,Free
U000393,25-34,Punjab,Free
U000394,18-24,Tamil Nadu,Free
U000395,35-44,Uttar Pradesh,Free
U000396,25-34,Tamil Nadu,Premium
U000397,25-34,West Bengal,Free
U000398,35-44,Telangana,Premium
U000399,35-44,Maharashtra,Premium
U000400,25-34,Kerala,Free
U000401,25-34,Karnataka,Premium
U000402,25-34,Tamil Nadu,Premium
U000403,25-34,Karnataka,Free
U000404,25-34,Uttar Pradesh,Free
U000405,35-44,Telangana,Free
U000406,25-34,West Bengal,Free
U000407,25-34,Telangana,Free
U000408,18-24,Karnataka,Free
U000409,35-44,Telangana,Free
U000410,25-34,Kerala,Free
U000411,18-24,Maharashtra,Free
U000412,25-34,Delhi,Free
U000413,18-24,Delhi,Free
U000414,45+,Uttar Pradesh,Premium
U000415,35-44,Telangana,Premium
U000416,25-34,Karnataka,Free
U000417,25-34,Delhi,Premium
U000418,35-44,West Bengal,Premium
U000419,25-34,Telangana,Premium
U000420,45+,West Bengal,Premium
U000421,18-24,Kerala,Free
U000422,18-24,Maharashtra,Free
U000423,25-34,West Bengal,Premium
U000424,18-24,Kerala,Premium
U000425,25-34,Punjab,Free
U000426,35-44,Karnataka,Free
U000427,18-24,Telangana,Free
U000428,25-34,Karnataka,Free
U000429,25-34,Uttar Pradesh,Free
U000430,35-44,Maharashtra,Free
U000431,25-34,Delhi,Free
U000432,18-24,Gujarat,Free
U000433,25-34,West Bengal,Free
U000434,25-34,Gujarat,Free
U000435,35-44,Maharashtra,Free
U000436,25-34,Delhi,Free
U000437,18-24,Gujarat,Free
U000438,35-44,Gujarat,Free
U000439,25-34,Gujarat,Free
U000440,18-24,Gujarat,Free
U000441,25-34,Punjab,Premium
U000442,45+,Maharashtra,Free
U000443,35-44,Punjab,Free
U000444,18-24,Uttar Pradesh,Free
U000445,35-44,Telangana,Free
U000446,18-24,Maharashtra,Free
U000447,25-34,Kerala,Free
U000448,25-34,Gujarat,Premium
U000449,18-24,Delhi,Free
U000450,18-24,Telangana,Premium
U000451,45+,Kerala,Premium
U000452,18-24,Uttar Pradesh,Free
U000453,35-44,West Bengal,Premium
U000454,25-34,Karnataka,Free
U000455,25-34,Uttar Pradesh,Free
U000456,18-24,Karnataka,Free
U000457,18-24,West Bengal,Free
U000458,18-24,Gujarat,Free
U000459,25-34,Telangana,Free
U000460,45+,Kerala,Free
U000461,35-44,Gujarat,Free
U000462,18-24,West Bengal,Free
U000463,18-24,Tamil Nadu,Free
U000464,18-24,West Bengal,Premium
U000465,45+,Tamil Nadu,Free
U000466,18-24,West Bengal,Premium
U000467,18-24,Maharashtra,Free
U000468,25-34,Maharashtra,Free
U000469,25-34,Tamil Nadu,Free
U000470,18-24,Delhi,Free
U000471,25-34,Kerala,Free
U000472,18-24,Delhi,Free
U000473,18-24,Tamil Nadu,Premium
U000474,18-24,Delhi,Free
U000475,25-34,Uttar Pradesh,Free
U000476,45+,Gujarat,Free
U000477,25-34,Maharashtra,Free
U000478,35-44,Karnataka,Premium
U000479,18-24,Uttar Pradesh,Free
U000480,35-44,Tamil Nadu,Free
U000481,45+,Gujarat,Premium
U000482,25-34,Maharashtra,Premium
U000483,45+,Tamil Nadu,Premium
U000484,25-34,Gujarat,Premium
U000485,35-44,Delhi,Free
U000486,18-24,Maharashtra,Free
U000487,25-34,Kerala,Free
U000488,25-34,Maharashtra,Free
U000489,45+,Karnataka,Premium
U000490,45+,Gujarat,Free
U000491,25-34,Gujarat,Free
U000492,45+,Delhi,Premium
U000493,35-44,Tamil Nadu,Free
U000494,25-34,Kerala,Free
U000495,18-24,Karnataka,Premium
U000496,18-24,Karnataka,Free
U000497,18-24,Telangana,Free
U000498,18-24,Kerala,Free
U000499,45+,Maharashtra,Free
U000500,18-24,Maharashtra,Free
U000501,25-34,Delhi,Premium
U000502,25-34,Karnataka,Free
U000503,25-34,Punjab,Free
U000504,18-24,Tamil Nadu,Free
U000505,25-34,Karnataka,Premium
U000506,25-34,West Bengal,Free
U000507,25-34,Karnataka,Premium
U000508,18-24,Gujarat,Free
U000509,35-44,Karnataka,Premium
U000510,18-24,Punjab,Free
U000511,25-34,Gujarat,Premium
U000512,25-34,West Bengal,Free
U000513,18-24,Maharashtra,Premium
U000514,35-44,Delhi,Free
U000515,18-24,Maharashtra,Free
U000516,45+,Kerala,Free
U000517,35-44,West Bengal,Free
U000518,25-34,Uttar Pradesh,Premium
U000519,18-24,Karnataka,Free
U000520,18-24,Maharashtra,Premium
U000521,45+,Tamil Nadu,Free
U000522,25-34,Maharashtra,Free
U000523,18-24,Delhi,Premium
U000524,25-34,Kerala,Free
U000525,18-24,Karnataka,Free
U000526,25-34,Gujarat,Free
U000527,25-34,Telangana,Free
U000528,18-24,West Bengal,Premium
U000529,35-44,Gujarat,Free
U000530,18-24,Tamil Nadu,Free
U000531,25-34,Karnataka,Premium
U000532,25-34,Kerala,Free
U000533,45+,Gujarat,Premium
U000534,25-34,Punjab,Premium
U000535,45+,Gujarat,Premium
U000536,25-34,Uttar Pradesh,Free
U000537,35-44,Delhi,Premium
U000538,18-24,Gujarat,Free
U000539,35-44,Maharashtra,Free
U000540,18-24,Gujarat,Premium
U000541,45+,Gujarat,Premium
U000542,45+,Gujarat,Free
U000543,25-34,Karnataka,Premium
U000544,25-34,Uttar Pradesh,Premium
U000545,25-34,Telangana,Free
U000546,18-24,Maharashtra,Free
U000547,25-34,Gujarat,Premium
U000548,25-34,Uttar Pradesh,Free
U000549,25-34,Karnataka,Free
U000550,18-24,Punjab,Free
U000551,45+,Telangana,Premium
U000552,18-24,Karnataka,Premium
U000553,25-34,West Bengal,Free
U000554,18-24,Karnataka,Premium
U000555,18-24,Punjab,Free
U000556,18-24,Punjab,Free
U000557,25-34,West Bengal,Free
U000558,25-34,Tamil Nadu,Free
U000559,25-34,Maharashtra,Free
U000560,25-34,Telangana,Free
U000561,25-34,Kerala,Free
U000562,18-24,Delhi,Free
U000563,18-24,Punjab,Free
U000564,25-34,Karnataka,Free
U000565,25-34,Uttar Pradesh,Free
U000566,25-34,Karnataka,Free
U000567,18-24,Gujarat,Premium
U000568,35-44,West Bengal,Premium
U000569,18-24,Uttar Pradesh,Free
U000570,25-34,Telangana,Free
U000571,18-24,Karnataka,Free
U000572,25-34,Kerala,Premium
U000573,25-34,Maharashtra,Free
U000574,35-44,Kerala,Free
U000575,18-24,Punjab,Free
U000576,25-34,West Bengal,Free
U000577,18-24,Telangana,Free
U000578,25-34,Punjab,Free
U000579,18-24,Tamil Nadu,Free
U000580,18-24,Telangana,Free
U000581,35-44,Kerala,Free
U000582,18-24,Tamil Nadu,Premium
U000583,18-24,Maharashtra,Free
U000584,35-44,Maharashtra,Premium
U000585,35-44,West Bengal,Free
U000586,35-44,Gujarat,Premium
U000587,18-24,Tamil Nadu,Premium
U000588,25-34,Maharashtra,Free
U000589,35-44,Delhi,Free
U000590,18-24,Uttar Pradesh,Free
U000591,35-44,Kerala,Premium
U000592,18-24,Maharashtra,Free
U000593,45+,Punjab,Free
U000594,25-34,Kerala,Premium
U000595,25-34,West Bengal,Free
U000596,25-34,Punjab,Free
U000597,18-24,West Bengal,Premium
U000598,18-24,Uttar Pradesh,Premium
U000599,35-44,Uttar Pradesh,Free
U000600,25-34,Gujarat,Free
U000601,25-34,Karnataka,Free
U000602,18-24,Maharashtra,Free
U000603,25-34,Karnataka,Premium
U000604,25-34,Maharashtra,Free
U000605,18-24,Telangana,Free
U000606,45+,West Bengal,Premium
U000607,25-34,Karnataka,Free
U000608,25-34,Delhi,Premium
U000609,45+,Telangana,Free
U000610,25-34,Maharashtra,Free
U000611,45+,Punjab,Premium
U000612,25-34,Uttar Pradesh,Free
U000613,25-34,Uttar Pradesh,Free
U000614,18-24,West Bengal,Free
U000615,18-24,Karnataka,Premium
U000616,25-34,Maharashtra,Free
U000617,18-24,West Bengal,Premium
U000618,18-24,Tamil Nadu,Premium
U000619,25-34,Kerala,Free
U000620,35-44,Delhi,Free
U000621,18-24,Gujarat,Premium
U000622,35-44,Gujarat,Premium
U000623,45+,Tamil Nadu,Free
U000624,35-44,Maharashtra,Premium
U000625,35-44,Tamil Nadu,Premium
U000626,35-44,Karnataka,Premium
U000627,18-24,Kerala,Free
U000628,25-34,Punjab,Free
U000629,45+,Maharashtra,Premium
U000630,25-34,Uttar Pradesh,Free
U000631,35-44,Punjab,Free
U000632,45+,Maharashtra,Free
U000633,18-24,Gujarat,Premium
U000634,18-24,Kerala,Free
U000635,25-34,Punjab,Free
U000636,18-24,Tamil Nadu,Free
U000637,25-34,West Bengal,Free
U000638,35-44,Gujarat,Free
U000639,25-34,Karnataka,Free
U000640,18-24,Punjab,Free
U000641,35-44,Maharashtra,Premium
U000642,18-24,Gujarat,Free
U000643,35-44,Gujarat,Free
U000644,18-24,Uttar Pradesh,Premium
U000645,35-44,Kerala,Free
U000646,25-34,Punjab,Premium
U000647,25-34,Punjab,Free
U000648,25-34,Punjab,Premium
U000649,18-24,Tamil Nadu,Premium
U000650,25-34,Uttar Pradesh,Premium
U000651,35-44,West Bengal,Free
U000652,35-44,Tamil Nadu,Free
U000653,18-24,Kerala,Premium
U000654,25-34,Gujarat,Free
U000655,35-44,Tamil Nadu,Free
U000656,35-44,Gujarat,Free
U000657,25-34,Maharashtra,Premium
U000658,18-24,Karnataka,Premium
U000659,45+,Delhi,Premium
U000660,25-34,Delhi,Free
U000661,25-34,Punjab,Premium
U000662,35-44,Karnataka,Premium
U000663,18-24,Kerala,Free
U000664,35-44,Telangana,Free
U000665,18-24,Tamil Nadu,Free
U000666,35-44,Tamil Nadu,Free
U000667,45+,Delhi,Free
U000668,45+,Kerala,Free
U000669,45+,Kerala,Free
U000670,35-44,Telangana,Free
U000671,18-24,Gujarat,Free
U000672,45+,Gujarat,Premium
U000673,45+,Gujarat,Free
U000674,25-34,Delhi,Free
U000675,25-34,Maharashtra,Premium
U000676,18-24,Tamil Nadu,Free
U000677,25-34,Maharashtra,Free
U000678,35-44,Maharashtra,Premium
U000679,25-34,Delhi,Free
U000680,25-34,Delhi,Premium
U000681,25-34,Karnataka,Premium
U000682,18-24,Karnataka,Free
U000683,45+,Gujarat,Premium
U000684,18-24,Uttar Pradesh,Free
U000685,18-24,Delhi,Premium
U000686,18-24,Karnataka,Free
U000687,35-44,Telangana,Premium
U000688,35-44,Punjab,Free
U000689,18-24,Karnataka,Free
U000690,18-24,West Bengal,Premium
U000691,25-34,Tamil Nadu,Premium
U000692,18-24,Kerala,Free
U000693,35-44,Maharashtra,Free
U000694,18-24,Tamil Nadu,Premium
U000695,25-34,Karnataka,Free
U000696,25-34,Punjab,Free
U000697,25-34,Tamil Nadu,Free
U000698,25-34,Karnataka,Premium
U000699,18-24,Kerala,Premium
U000700,18-24,Delhi,Free
U000701,18-24,Gujarat,Premium
U000702,18-24,Karnataka,Free
U000703,45+,Telangana,Free
U000704,18-24,Delhi,Premium
U000705,18-24,Uttar Pradesh,Free
U000706,18-24,West Bengal,Free
U000707,35-44,Kerala,Free
U000708,45+,Gujarat,Free
U000709,35-44,Uttar Pradesh,Free
U000710,25-34,Punjab,Premium
U000711,35-44,Karnataka,Free
U000712,25-34,Punjab,Free
U000713,35-44,Telangana,Free
U000714,35-44,Gujarat,Premium
U000715,18-24,Kerala,Free
U000716,25-34,Telangana,Premium
U000717,18-24,Tamil Nadu,Free
U000718,18-24,Kerala,Free
U000719,35-44,Tamil Nadu,Free
U000720,18-24,Gujarat,Free
U000721,35-44,Telangana,Free
U000722,45+,West Bengal,Premium
U000723,25-34,West Bengal,Free
U000724,25-34,Kerala,Premium
U000725,25-34,Tamil Nadu,Free
U000726,35-44,Karnataka,Free
U000727,18-24,Tamil Nadu,Premium
U000728,18-24,Uttar Pradesh,Free
U000729,25-34,Delhi,Premium
U000730,45+,Kerala,Premium
U000731,18-24,Uttar Pradesh,Premium
U000732,25-34,Maharashtra,Free
U000733,45+,West Bengal,Premium
U000734,18-24,Telangana,Premium
U000735,18-24,Karnataka,Free
U000736,25-34,Maharashtra,Free
U000737,18-24,West Bengal,Premium
U000738,18-24,Telangana,Free
U000739,25-34,Kerala,Free
U000740,25-34,Maharashtra,Premium
U000741,25-34,Uttar Pradesh,Premium
U000742,25-34,West Bengal,Free
U000743,25-34,Tamil Nadu,Free
U000744,25-34,Tamil Nadu,Free
U000745,35-44,Uttar Pradesh,Free
U000746,35-44,Telangana,Free
U000747,25-34,Telangana,Premium
U000748,35-44,West Bengal,Premium
U000749,35-44,Karnataka,Premium
U000750,18-24,Punjab,Premium
U000751,45+,Kerala,Premium
U000752,35-44,Karnataka,Free
U000753,18-24,Maharashtra,Free
U000754,18-24,Tamil Nadu,Free
U000755,25-34,Maharashtra,Free
U000756,25-34,Telangana,Premium
U000757,35-44,West Bengal,Free
U000758,25-34,Uttar Pradesh,Free
U000759,18-24,West Bengal,Free
U000760,18-24,Karnataka,Free
U000761,35-44,West Bengal,Premium
U000762,18-24,Telangana,Free
U000763,35-44,Kerala,Free
U000764,18-24,Uttar Pradesh,Premium
U000765,25-34,Maharashtra,Free
U000766,25-34,Kerala,Free
U000767,18-24,Gujarat,Premium
U000768,25-34,Karnataka,Free
U000769,25-34,Tamil Nadu,Free
U000770,18-24,Tamil Nadu,Free
U000771,25-34,Karnataka,Free
U000772,35-44,Gujarat,Free
U000773,35-44,Karnataka,Premium
U000774,25-34,Tamil Nadu,Free
U000775,35-44,Telangana,Premium
U000776,18-24,Punjab,Free
U000777,18-24,West Bengal,Premium
U000778,25-34,Telangana,Premium
U000779,25-34,Delhi,Free
U000780,35-44,Delhi,Free
U000781,18-24,Maharashtra,Premium
U000782,25-34,Telangana,Free
U000783,25-34,Gujarat,Premium
U000784,18-24,Uttar Pradesh,Free
U000785,25-34,West Bengal,Premium
U000786,25-34,Uttar Pradesh,Free
U000787,18-24,Uttar Pradesh,Free
U000788,25-34,West Bengal,Free
U000789,18-24,Karnataka,Free
U000790,45+,Gujarat,Free
U000791,18-24,West Bengal,Free
