song_id,artist_id,album_id,song_name,language,genre,duration_seconds,artist_popularity
S00251,A0090,AL00608,Song_00251,Punjabi,Devotional,206.27,53.48
S00252,A0247,AL00663,Song_00252,Telugu,Romantic,131.19,51.39
S00253,A0094,AL00293,Song_00253,English,Pop,166.46,85.34
S00254,A0165,AL00601,Song_00254,Punjabi,Indie,264.73,61.09
S00255,A0330,AL00354,Song_00255,Gujarati,Folk,255.31,53.77
S00256,A0073,AL00823,Song_00256,Punjabi,Classical,277.65,4.89
S00257,A0339,AL00955,Song_00257,Kannada,Indie,228.38,44.83
S00258,A0052,AL00783,Song_00258,Telugu,Electronic,196.12,90.8
S00259,A0088,AL00002,Song_00259,Hindi,Indie,196.79,71.17
S00260,A0294,AL01190,Song_00260,English,Lo-Fi,154.92,5.1
S00261,A0396,AL00029,Song_00261,Tamil,Devotional,237.14,88.4
S00262,A0086,AL01199,Song_00262,Gujarati,Electronic,225.31,82.67
S00263,A0150,AL00039,Song_00263,English,Electronic,147.88,54.67
S00264,A0462,AL00620,Song_00264,Hindi,Devotional,279.42,2.24
S00265,A0494,AL00128,Song_00265,Punjabi,Pop,186.32,56.24
S00266,A0290,AL00115,Song_00266,Hindi,Classical,128.95,5.46
S00267,A0224,AL00820,Song_00267,Telugu,Romantic,179.02,32.04
S00268,A0174,AL00873,Song_00268,Punjabi,Indie,276.57,62.89
S00269,A0306,AL00142,Song_00269,Tamil,Romantic,285.05,91.29
S00270,A0295,AL01172,Song_00270,Bengali,Indie,208.27,35.78
S00271,A0148,AL00385,Song_00271,Marathi,Rock,292.14,86.0
S00272,A0012,AL00382,Song_00272,Marathi,Pop,277.54,91.84
S00273,A0076,AL00357,Song_00273,Telugu,Romantic,268.54,2.1
S00274,A0479,AL00553,Song_00274,Bengali,Indie,274.75,23.94
S00275,A0209,AL00214,Song_00275,Bengali,Pop,188.74,70.99
S00276,A0241,AL00510,Song_00276,Hindi,Folk,256.16,75.68
S00277,A0234,AL00252,Song_00277,Punjabi,Electronic,223.92,39.24
S00278,A0391,AL00062,Song_00278,Hindi,Electronic,249.54,65.68
S00279,A0033,AL00443,Song_00279,Bengali,Romantic,152.0,61.22
S00280,A0042,AL00807,Song_00280,Marathi,Electronic,251.65,73.98
S00281,A0138,AL00915,Song_00281,English,Devotional,292.37,71.87
S00282,A0243,AL00424,Song_00282,Hindi,Rock,174.48,8.59
S00283,A0335,AL00389,Song_00283,English,Pop,297.51,15.83
S00284,A0245,AL00945,Song_00284,Tamil,Indie,188.11,13.27
S00285,A0221,AL00817,Song_00285,Hindi,Electronic,155.95,93.25
S00286,A0468,AL00998,Song_00286,Hindi,Pop,140.21,91.35
S00287,A0081,AL01087,Song_00287,Kannada,Pop,261.29,79.74
S00288,A0286,AL00985,Song_00288,Telugu,Rock,219.87,11.67
S00289,A0271,AL01123,Song_00289,Hindi,Indie,175.28,57.43
S00290,A0237,AL00500,Song_00290,Hindi,Classical,229.52,18.72
S00291,A0403,AL00474,Song_00291,Gujarati,Classical,179.78,36.84
S00292,A0134,AL00386,Song_00292,Tamil,Hip-Hop,200.7,26.71
S00293,A0476,AL00283,Song_00293,Marathi,Pop,275.28,82.89
S00294,A0166,AL00898,Song_00294,English,Pop,240.27,14.45
S00295,A0272,AL00857,Song_00295,Hindi,Pop,257.23,64.62
S00296,A0260,AL00961,Song_00296,Hindi,Devotional,225.03,98.39
S00297,A0425,AL00201,Song_00297,Tamil,Electronic,298.45,68.71
S00298,A0220,AL00590,Song_00298,Hindi,Classical,163.45,7.92
S00299,A0142,AL00267,Song_00299,Hindi,Pop,167.21,90.78
S00300,A0011,AL01071,Song_00300,Tamil,Classical,136.66,64.31
S00301,A0182,AL00321,Song_00301,Malayalam,Lo-Fi,219.72,45.63
S00302,A0413,AL00173,Song_00302,Telugu,Hip-Hop,230.4,65.97
S00303,A0005,AL00684,Song_00303,English,Classical,250.67,87.9
S00304,A0448,AL01055,Song_00304,English,Indie,180.38,47.71
S00305,A0271,AL01098,Song_00305,English,Rock,122.21,53.13
S00306,A0070,AL00116,Song_00306,English,Classical,233.8,45.24
S00307,A0151,AL00391,Song_00307,Punjabi,Classical,299.77,7.26
S00308,A0277,AL00185,Song_00308,English,Classical,173.02,78.71
S00309,A0158,AL00370,Song_00309,Punjabi,Electronic,153.11,12.64
S00310,A0055,AL00641,Song_00310,Kannada,Indie,170.72,39.46
S00311,A0333,AL00337,Song_00311,Gujarati,Pop,196.57,38.68
S00312,A0336,AL00081,Song_00312,Hindi,Pop,165.16,28.0
S00313,A0060,AL00612,Song_00313,English,Classical,182.45,40.25
S00314,A0141,AL00064,Song_00314,Hindi,Lo-Fi,234.88,61.8
S00315,A0122,AL00272,Song_00315,English,Pop,182.11,31.14
S00316,A0330,AL00001,Song_00316,Hindi,Pop,191.29,17.25
S00317,A0365,AL00105,Song_00317,Hindi,Devotional,127.21,86.94
S00318,A0363,AL00524,Song_00318,Telugu,Classical,285.23,97.08
S00319,A0469,AL01021,Song_00319,English,Hip-Hop,193.24,45.86
S00320,A0384,AL00929,Song_00320,Kannada,Hip-Hop,179.07,32.7
S00321,A0161,AL00119,Song_00321,Hindi,Devotional,135.57,4.75
S00322,A0054,AL00042,Song_00322,Hindi,Indie,234.15,3.69
S00323,A0307,AL00406,Song_00323,English,Devotional,275.49,39.29
S00324,A0458,AL00783,Song_00324,Hindi,Hip-Hop,127.41,93.02
S00325,A0487,AL00896,Song_00325,Hindi,Indie,146.15,73.07
S00326,A0115,AL00987,Song_00326,Gujarati,Folk,146.35,34.93
S00327,A0118,AL00411,Song_00327,Hindi,Rock,228.41,96.8
S00328,A0019,AL00202,Song_00328,Hindi,Rock,285.82,42.88
S00329,A0071,AL00032,Song_00329,Punjabi,Romantic,198.8,27.68
S00330,A0277,AL00177,Song_00330,English,Devotional,181.89,42.64
S00331,A0273,AL00079,Song_00331,Punjabi,Pop,257.85,21.15
S00332,A0186,AL01033,Song_00332,English,Hip-Hop,253.66,88.56
S00333,A0155,AL00322,Song_00333,Bengali,Electronic,164.42,36.12
S00334,A0415,AL00987,Song_00334,Hindi,Pop,148.95,65.8
S00335,A0230,AL00664,Song_00335,English,Lo-Fi,184.41,38.9
S00336,A0404,AL00647,Song_00336,Tamil,Classical,259.61,90.17
S00337,A0481,AL00546,Song_00337,Bengali,Rock,245.11,64.24
S00338,A0159,AL00983,Song_00338,English,Indie,239.85,48.83
S00339,A0102,AL00053,Song_00339,Punjabi,Devotional,269.3,13.21
S00340,A0476,AL00112,Song_00340,Hindi,Classical,169.88,90.19
S00341,A0317,AL00508,Song_00341,Hindi,Folk,181.14,54.68
S00342,A0146,AL00473,Song_00342,Hindi,Lo-Fi,127.62,28.51
S00343,A0311,AL00655,Song_00343,Tamil,Hip-Hop,276.37,87.79
S00344,A0258,AL00885,Song_00344,Hindi,Electronic,224.84,5.44
S00345,A0452,AL00705,Song_00345,Tamil,Rock,173.66,31.41
S00346,A0128,AL00309,Song_00346,Hindi,Lo-Fi,132.49,53.68
S00347,A0495,AL00393,Song_00347,Bengali,Hip-Hop,250.21,33.98
S00348,A0468,AL00903,Song_00348,Bengali,Hip-Hop,254.77,47.67
S00349,A0091,AL00242,Song_00349,Hindi,Electronic,239.91,26.43
S00350,A0083,AL00605,Song_00350,Hindi,Electronic,156.68,13.01
S00351,A0267,AL00647,Song_00351,Hindi,Romantic,284.38,3.69
S00352,A0023,AL00900,Song_00352,Bengali,Indie,255.57,15.76
S00353,A0150,AL00857,Song_00353,Hindi,Rock,238.4,95.29
S00354,A0218,AL00558,Song_00354,Punjabi,Devotional,237.17,57.54
S00355,A0484,AL00371,Song_00355,English,Indie,282.78,48.9
S00356,A0496,AL00442,Song_00356,Telugu,Lo-Fi,287.1,38.43
S00357,A0076,AL00494,Song_00357,English,Lo-Fi,227.21,70.84
S00358,A0445,AL00263,Song_00358,Punjabi,Devotional,195.0,14.13
S00359,A0046,AL00750,Song_00359,Gujarati,Devotional,185.47,27.61
S00360,A0374,AL00250,Song_00360,Hindi,Folk,267.43,65.59
S00361,A0422,AL00778,Song_00361,Bengali,Romantic,236.03,47.91
S00362,A0445,AL00902,Song_00362,Hindi,Electronic,133.91,77.01
S00363,A0112,AL01154,Song_00363,English,Electronic,145.59,89.71
S00364,A0446,AL00143,Song_00364,Kannada,Romantic,282.03,82.34
S00365,A0058,AL00911,Song_00365,Marathi,Folk,279.21,18.42
S00366,A0259,AL00104,Song_00366,Tamil,Devotional,291.33,9.15
S00367,A0235,AL00405,Song_00367,Hindi,Rock,197.01,16.94
S00368,A0158,AL00212,Song_00368,English,Classical,261.13,78.35
S00369,A0012,AL00195,Song_00369,English,Classical,269.08,91.38
S00370,A0386,AL00211,Song_00370,Punjabi,Lo-Fi,176.83,92.54
S00371,A0168,AL00053,Song_00371,English,Lo-Fi,146.16,29.82
S00372,A0331,AL00987,Song_00372,English,Folk,299.46,84.03
S00373,A0205,AL00074,Song_00373,English,Devotional,125.44,53.62
S00374,A0187,AL00478,Song_00374,Hindi,Romantic,227.52,82.28
S00375,A0443,AL00839,Song_00375,English,Lo-Fi,237.04,54.84
S00376,A0048,AL01188,Song_00376,Hindi,Romantic,242.72,14.59
S00377,A0368,AL01024,Song_00377,Kannada,Romantic,166.01,7.92
S00378,A0373,AL00165,Song_00378,Marathi,Pop,249.88,95.72
S00379,A0190,AL01185,Song_00379,Hindi,Lo-Fi,158.95,42.58
S00380,A0131,AL00784,Song_00380,Tamil,Classical,269.23,35.05
S00381,A0003,AL00216,Song_00381,Bengali,Hip-Hop,159.44,35.63
